label,short,shortDomain,shortRange,description
featuring,dbo:featuring,dbo:MusicalWork,dbo:Agent,"featuring, name of the second artist, apart the main artist, reserved preferently for singles, promotional singles and songs."
federal state,dbo:federalState,dbo:Settlement,dbo:PopulatedPlace,federal state
federation,dbo:federation,dbo:Person,dbo:Organisation,federation
field,dbo:field,dbo:Artist,,field
The URL at which this file can be downloaded,dbo:fileURL,dbo:File,dbo:File,the url at which this file can be downloaded
filling station,dbo:fillingStation,dbo:RestArea,dbo:FillingStation,filling station
film,dbo:film,dbo:FilmFestival,dbo:Film,film
Film Fare Award,dbo:filmFareAward,dbo:Artist,dbo:Award,film fare award
film version,dbo:filmVersion,dbo:WrittenWork,dbo:Film,film version
person that first ascented a mountain,dbo:firstAscentPerson,dbo:Mountain,dbo:Person,person that first ascented a mountain
first driver,dbo:firstDriver,dbo:GrandPrix,dbo:Person,first driver
first driver country,dbo:firstDriverCountry,dbo:GrandPrix,dbo:Country,first driver country
winning team,dbo:firstDriverTeam,dbo:GrandPrix,dbo:SportsTeam,winning team
first flight,dbo:firstFlight,dbo:SpaceShuttle,dbo:SpaceMission,first flight
first launch rocket,dbo:firstLaunchRocket,dbo:LaunchPad,dbo:Rocket,first launch rocket
firstLeader,dbo:firstLeader,,dbo:Person,firstleader
first olympic event,dbo:firstOlympicEvent,dbo:Sport,dbo:OlympicEvent,first olympic event
first owner,dbo:firstOwner,,dbo:Agent,first owner
firstPopularVote,dbo:firstPopularVote,,dbo:Person,firstpopularvote
first publisher,dbo:firstPublisher,dbo:WrittenWork,dbo:Agent,first publisher
first race,dbo:firstRace,dbo:FormulaOneRacer,dbo:GrandPrix,first race
first win,dbo:firstWin,dbo:FormulaOneRacer,dbo:GrandPrix,first win
first winner,dbo:firstWinner,dbo:Race,dbo:Person,first winner
flag bearer,dbo:flagBearer,dbo:OlympicResult,dbo:Person,flag bearer
flower,dbo:flower,dbo:Place,dbo:Species,flower
focus,dbo:focus,,,"focus, points out the subject or thing someone or something is focused on."
followed by,dbo:followedBy,,,followed by
following event,dbo:followingEvent,dbo:Event,dbo:Event,following event
follows,dbo:follows,,,follows
Footedness,dbo:footedness,dbo:Sport,dbo:Person,"footedness, a preference to put one's left or right foot forward in surfing, wakeboarding, skateboarding, wakeskating, snowboarding and mountainboarding. the term is sometimes applied to the foot a footballer uses to kick."
foresterDistrict,dbo:foresterDistrict,dbo:Place,,foresterdistrict
format (object),dbo:format,,,"format (object), format of the resource (as object). use dct:format for literal, format for object"
former band member,dbo:formerBandMember,dbo:Band,dbo:Person,"former band member, a former member of the band."
former broadcast network,dbo:formerBroadcastNetwork,dbo:Broadcaster,dbo:BroadcastNetwork,"former broadcast network, a former parent broadcast network to which the broadcaster once belonged."
former choreographer,dbo:formerChoreographer,dbo:FigureSkater,dbo:Person,former choreographer
former highschool,dbo:formerHighschool,dbo:NationalCollegiateAthleticAssociationAthlete,dbo:EducationalInstitution,former highschool
former partner,dbo:formerPartner,dbo:FigureSkater,dbo:Person,former partner
former team,dbo:formerTeam,dbo:Athlete,dbo:SportsTeam,former team
fossil,dbo:fossil,dbo:Species,dbo:Species,fossil
foundation place,dbo:foundationPlace,dbo:Organisation,dbo:City,foundation place
founded by,dbo:foundedBy,,dbo:Agent,"founded by, identifies the founder of the described entity. this can be a person or a organisation for instance."
founder,dbo:founder,,dbo:Person,"founder, ein gründer oder gründungsmitglied einer organisation, religion oder eines ortes."
fourth commander,dbo:fourthCommander,dbo:MilitaryUnit,dbo:Person,fourth commander
frazioni,dbo:frazioni,dbo:Settlement,dbo:PopulatedPlace,frazioni
friend,dbo:friend,dbo:Person,dbo:Person,friend
fuel,dbo:fuel,,,fuel
fuel system,dbo:fuelSystem,dbo:AutomobileEngine,,fuel system
fuel type,dbo:fuelType,,,fuel type
funded by,dbo:fundedBy,dbo:ResearchProject,dbo:Organisation,"funded by, a organisation financing the research project."
gallery item,dbo:galleryItem,dbo:Document,dbo:File,"gallery item, a file contained in a gallery"
game artist,dbo:gameArtist,dbo:VideoGame,dbo:Person,"game artist, a game artist is an artist who creates art for one or more types of games. game artists are responsible for all of the aspects of game development that call for visual art."
Game Engine,dbo:gameEngine,dbo:VideoGame,,game engine
garrison,dbo:garrison,dbo:MilitaryUnit,dbo:PopulatedPlace,garrison
Gaudí Award,dbo:gaudiAward,dbo:Artist,dbo:Award,"gaudí award, awards of the catalan academy of cinema"
Gemini Award,dbo:geminiAward,dbo:Actor,dbo:Award,gemini award
gender,dbo:gender,,,gender
Gene Location,dbo:geneLocation,dbo:Gene,dbo:GeneLocation,gene location
general council,dbo:generalCouncil,dbo:Agent,dbo:TermOfOffice,general council
general manager,dbo:generalManager,dbo:SportsTeam,dbo:Person,general manager
genre,dbo:genre,,dbo:Genre,"genre, the genre of the thing (music group, film, etc.)"
genus,dbo:genus,dbo:Species,,"genus, a rank in the classification of organisms, below family and above species; a taxon at that rank"
geolocDepartment,dbo:geolocDepartment,dbo:Settlement,dbo:PopulatedPlace,geolocdepartment
gini coefficient category,dbo:giniCoefficientCategory,dbo:PopulatedPlace,,gini coefficient category
gold medalist,dbo:goldMedalist,dbo:SportsEvent,dbo:Person,gold medalist
Golden Calf Award,dbo:goldenCalfAward,dbo:Actor,dbo:Award,golden calf award
Golden Globe Award,dbo:goldenGlobeAward,dbo:Artist,dbo:Award,golden globe award
Golden Raspberry Award,dbo:goldenRaspberryAward,dbo:Actor,dbo:Award,golden raspberry award
governing body,dbo:governingBody,dbo:Place,dbo:Organisation,"governing body, body that owns/operates the place."
government,dbo:government,dbo:Island,,government
government country,dbo:governmentCountry,dbo:Island,dbo:Country,government country
government mountain,dbo:governmentMountain,dbo:Island,dbo:Mountain,government mountain
government place,dbo:governmentPlace,dbo:Island,dbo:PopulatedPlace,government place
government position,dbo:governmentPosition,dbo:Island,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,government position
government region,dbo:governmentRegion,dbo:Island,dbo:PopulatedPlace,government region
government type,dbo:governmentType,,dbo:GovernmentType,"government type, broadly, the type of structure of its government"
governor,dbo:governor,,dbo:Person,governor
governor general,dbo:governorGeneral,,dbo:Person,governor general
Goya Award,dbo:goyaAward,dbo:Artist,dbo:Award,goya award
grades,dbo:grades,dbo:School,,grades
Grammy Award,dbo:grammyAward,dbo:Artist,dbo:Award,grammy award
grandsire,dbo:grandsire,dbo:Animal,dbo:Animal,grandsire
gross domestic product nominal per capita,dbo:grossDomesticProductNominalPerCapita,dbo:PopulatedPlace,dbo:GrossDomesticProductPerCapita,gross domestic product nominal per capita
gross domestic product purchasing power parity per capita,dbo:grossDomesticProductPurchasingPowerParityPerCapita,dbo:PopulatedPlace,dbo:GrossDomesticProductPerCapita,gross domestic product purchasing power parity per capita
ground,dbo:ground,dbo:SoccerClub,dbo:Place,ground
growing grape,dbo:growingGrape,dbo:WineRegion,dbo:Grape,growing grape
guest,dbo:guest,dbo:TelevisionEpisode,dbo:Person,guest
gym apparatus,dbo:gymApparatus,dbo:Person,,gym apparatus
hand,dbo:hand,dbo:Person,,hand
handedness,dbo:handedness,dbo:Person,,"handedness, an attribute of humans defined by their unequal distribution of fine motor skill between the left and right hands."
the previous municipality from which this one has been created or enlarged,dbo:hasAbsorbedMunicipality,dbo:Municipality,dbo:FormerMunicipality,the previous municipality from which this one has been created or enlarged
Indicates an annotation associated with this document,dbo:hasAnnotation,dbo:Document,dbo:Annotation,indicates an annotation associated with this document
has channel,dbo:hasChannel,,,has channel
has input,dbo:hasInput,,,has input
has inside place,dbo:hasInsidePlace,dbo:Place,dbo:Place,"has inside place, indicates another place situated inside."
has junction with,dbo:hasJunctionWith,dbo:Canal,dbo:Canal,has junction with
has outside place,dbo:hasOutsidePlace,dbo:Place,dbo:Place,"has outside place, indicates another place situated around outside."
variant or variation,dbo:hasVariant,,,"variant or variation, variant or variation, for example all variations of a color"
head,dbo:head,dbo:EducationalInstitution,dbo:Person,head
head alloy,dbo:headAlloy,dbo:AutomobileEngine,,head alloy
head chef,dbo:headChef,dbo:Restaurant,dbo:Person,head chef
family head,dbo:headOfFamily,dbo:Family,dbo:Person,family head
headquarter,dbo:headquarter,dbo:Organisation,dbo:PopulatedPlace,headquarter
head teacher,dbo:headteacher,dbo:School,dbo:Person,head teacher
heir,dbo:heir,dbo:Monarch,dbo:Person,heir
heritage register,dbo:heritageRegister,dbo:Place,,"heritage register, registered in a heritage register : inventory of cultural properties, natural and man-made, tangible and intangible, movable and immovable, that are deemed to be of sufficient heritage value to be separately identified and recorded."
highest,dbo:highest,dbo:MountainRange,dbo:Mountain,"highest, the highest mountain of a mountain range."
highest altitude,dbo:highestAltitude,dbo:Place,dbo:Altitude,highest altitude
highest mountain,dbo:highestMountain,,dbo:Mountain,highest mountain
highest place,dbo:highestPlace,,dbo:PopulatedPlace,highest place
highest point,dbo:highestPoint,dbo:Settlement,dbo:Place,highest point
highest position,dbo:highestPosition,,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,highest position
highest region,dbo:highestRegion,dbo:Island,dbo:PopulatedPlace,highest region
highest state,dbo:highestState,dbo:Island,dbo:PopulatedPlace,highest state
highschool,dbo:highschool,,dbo:School,highschool
highway system,dbo:highwaySystem,dbo:Road,,"highway system, the highway system that a route is part of"
home arena,dbo:homeArena,,dbo:Arena,home arena
home stadium,dbo:homeStadium,,dbo:Stadium,home stadium
homeport,dbo:homeport,dbo:Ship,dbo:Place,homeport
home town,dbo:hometown,dbo:Agent,dbo:Settlement,home town
honours,dbo:honours,,,"honours, honours bestowed upon a person, organization, racehorse, etc"
horse riding discipline,dbo:horseRidingDiscipline,dbo:Athlete,dbo:Sport,horse riding discipline
house,dbo:house,dbo:Legislature,dbo:Legislature,house
hub airport,dbo:hubAirport,dbo:Airline,dbo:Airport,hub airport
human development index (HDI) category,dbo:humanDevelopmentIndexRankingCategory,dbo:PopulatedPlace,,human development index (hdi) category
hybrid,dbo:hybrid,dbo:Plant,dbo:Plant,"hybrid, plants from which another plant (or cultivar) has been developed from"
ideology,dbo:ideology,dbo:Agent,dbo:Ideology,ideology
IFTA Award,dbo:iftaAward,dbo:Actor,dbo:Award,ifta award
illustrator,dbo:illustrator,dbo:WrittenWork,dbo:Person,"illustrator, illustrator (where used throughout and a major feature)"
important station,dbo:importantStation,dbo:PublicTransitSystem,dbo:Station,"important station, destinations, depots, junctions, major stops, hubs..."
in cemetery,dbo:inCemetery,dbo:GraveMonument,dbo:Cemetery,in cemetery
industry,dbo:industry,dbo:Company,,industry
inflow,dbo:inflow,dbo:BodyOfWater,dbo:BodyOfWater,inflow
influenced,dbo:influenced,,,"influenced, the subject influenced the object. inverseof influencedby. subject and object can be persons or works (eg programminglanguage)"
influenced by,dbo:influencedBy,,,"influenced by, the subject was influenced by the object. inverseof influenced. subject and object can be persons or works (eg programminglanguage)"
ingredient,dbo:ingredient,dbo:Food,,"ingredient, main ingredient used to prepare a specific food or beverage. for strings use ingredientname, for objects use ingredient."
innervates,dbo:innervates,dbo:Nerve,dbo:AnatomicalStructure,innervates
institution,dbo:institution,,dbo:Organisation,institution
instrument,dbo:instrument,dbo:Artist,dbo:Instrument,instrument
intercommunality,dbo:intercommunality,,dbo:PopulatedPlace,intercommunality
international affiliation,dbo:internationalAffiliation,dbo:PoliticalParty,,international affiliation
is part of,dbo:isPartOf,,,is part of
is part of anatomical structure,dbo:isPartOfAnatomicalStructure,dbo:Brain,dbo:AnatomicalStructure,is part of anatomical structure
is part of military conflict,dbo:isPartOfMilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,is part of military conflict
is part of wine region,dbo:isPartOfWineRegion,dbo:WineRegion,dbo:WineRegion,is part of wine region
is route stop,dbo:isRouteStop,dbo:Place,dbo:RouteStop,"is route stop, indicate a place is a stop on a road."
island,dbo:island,dbo:BodyOfWater,dbo:Island,island
jockey,dbo:jockey,dbo:Horse,dbo:Jockey,jockey
joint community,dbo:jointCommunity,dbo:Settlement,dbo:PopulatedPlace,joint community
judge,dbo:judge,dbo:LegalCase,dbo:Judge,"judge, leading judge"
junior season,dbo:juniorSeason,dbo:Agent,,junior season
junior team,dbo:juniorTeam,dbo:Athlete,dbo:SportsTeam,junior team
jure language,dbo:jureLanguage,,dbo:Language,jure language
jurisdiction,dbo:jurisdiction,,,"jurisdiction, jurisdiction is the practical authority granted to a formally constituted legal body or to a political leader to deal with and make pronouncements on legal matters and, by implication, to administer justice within a defined area of responsibility."
key person,dbo:keyPerson,,dbo:Person,key person
khl draft team,dbo:khlDraftTeam,dbo:IceHockeyPlayer,dbo:HockeyTeam,khl draft team
kingdom,dbo:kingdom,dbo:Species,,"kingdom, in biology, kingdom (latin: regnum, pl. regna) is a taxonomic rank, which is either the highest rank or in the more recent three-domain system, the rank below domain."
known for,dbo:knownFor,,,"known for, work, historic event, etc that the subject is known for. applies to person, organization, concentrationcamp, etc"
vastest lake,dbo:lake,dbo:Place,dbo:BodyOfWater,vastest lake
land,dbo:land,dbo:Place,dbo:Place,land
landeshauptmann,dbo:landeshauptmann,dbo:AdministrativeRegion,dbo:Person,landeshauptmann
landing vehicle,dbo:landingVehicle,dbo:SpaceMission,dbo:SpaceMission,landing vehicle
language,dbo:language,,dbo:Language,"language, use dc:language for literal, language for object"
family,dbo:languageFamily,dbo:Language,,family
language regulator or academy,dbo:languageRegulator,,dbo:Language,language regulator or academy
largest city,dbo:largestCity,dbo:PopulatedPlace,dbo:PopulatedPlace,largest city
largest metro,dbo:largestMetro,dbo:Settlement,dbo:PopulatedPlace,largest metro
largest settlement,dbo:largestSettlement,dbo:PopulatedPlace,dbo:PopulatedPlace,largest settlement
last appearance,dbo:lastAppearance,dbo:FictionalCharacter,,last appearance
last family member,dbo:lastFamilyMember,dbo:Family,dbo:Person,last family member
last flight,dbo:lastFlight,dbo:SpaceShuttle,dbo:SpaceMission,last flight
last launch rocket,dbo:lastLaunchRocket,dbo:LaunchPad,dbo:Rocket,last launch rocket
last race,dbo:lastRace,dbo:FormulaOneRacer,dbo:GrandPrix,last race
last win,dbo:lastWin,dbo:FormulaOneRacer,dbo:GrandPrix,last win
launch pad,dbo:launchPad,dbo:SpaceMission,dbo:LaunchPad,launch pad
launch site,dbo:launchSite,dbo:SpaceMission,dbo:Building,launch site
launch vehicle,dbo:launchVehicle,dbo:SpaceMission,,launch vehicle
Laurence Olivier Award,dbo:laurenceOlivierAward,dbo:Actor,dbo:Award,laurence olivier award
layout,dbo:layout,dbo:Automobile,,layout
lchf draft team,dbo:lchfDraftTeam,dbo:IceHockeyPlayer,dbo:HockeyTeam,lchf draft team
lead team,dbo:leadTeam,"dbo:Athlete,_CareerStation",dbo:SportsTeam,lead team
leader,dbo:leader,,dbo:Person,leader
leaderFunction,dbo:leaderFunction,dbo:Organisation,dbo:PersonFunction,leaderfunction
leader name,dbo:leaderName,dbo:PopulatedPlace,dbo:Person,leader name
leader party,dbo:leaderParty,dbo:PopulatedPlace,,leader party
league,dbo:league,,dbo:SportsLeague,league
league manager,dbo:leagueManager,dbo:Person,dbo:SportsLeague,league manager
left tributary,dbo:leftTributary,dbo:River,dbo:River,left tributary
legal form,dbo:legalForm,dbo:Organisation,,"legal form, there are many types of business entity defined in the legal systems of various countries. these include corporations, cooperatives, partnerships, sole traders, limited liability company and other specialized types of organization."
legislature,dbo:legislature,dbo:PopulatedPlace,dbo:Legislature,legislature
license,dbo:license,dbo:Work,,license
Lieutenancy area,dbo:lieutenancyArea,dbo:PopulatedPlace,dbo:PopulatedPlace,lieutenancy area
lieutenant,dbo:lieutenant,,dbo:Person,lieutenant
linguistics tradition,dbo:linguisticsTradition,dbo:Person,,linguistics tradition
linked to,dbo:linkedTo,dbo:SkiResort,dbo:Place,linked to
list item,dbo:listItemOf,,,list item
literary genre,dbo:literaryGenre,dbo:WrittenWork,,"literary genre, a literary genre is a category of literary composition. genres may be determined by literary technique, tone, content, or even (as in the case of fiction) length."
livingPlace,dbo:livingPlace,dbo:Person,dbo:Place,livingplace
local authority,dbo:localAuthority,,,local authority
thumbnail localization,dbo:localizationThumbnail,dbo:PopulatedPlace,,thumbnail localization
located in area,dbo:locatedInArea,dbo:Place,dbo:Place,located in area
location,dbo:location,,dbo:Place,"location, the location of the thing."
location city,dbo:locationCity,dbo:Organisation,dbo:City,"location city, city the thing is located."
państwo,dbo:locationCountry,,dbo:Country,"państwo, country the thing is located."
locomotive,dbo:locomotive,dbo:Train,dbo:Locomotive,locomotive
lounge,dbo:lounge,dbo:Airline,,lounge
lowest mountain,dbo:lowestMountain,dbo:Place,dbo:Mountain,lowest mountain
lowest place,dbo:lowestPlace,dbo:Place,dbo:PopulatedPlace,lowest place
lowest point,dbo:lowestPoint,dbo:Settlement,dbo:Place,lowest point
lowest position,dbo:lowestPosition,dbo:Place,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,lowest position
lowest region,dbo:lowestRegion,dbo:Island,dbo:PopulatedPlace,lowest region
lowest state,dbo:lowestState,dbo:Island,dbo:PopulatedPlace,lowest state
lunar rover,dbo:lunarRover,dbo:SpaceMission,dbo:MeanOfTransportation,lunar rover
lymph,dbo:lymph,dbo:AnatomicalStructure,dbo:Lymph,lymph
lyrics,dbo:lyrics,dbo:MusicalWork,dbo:Person,"lyrics, creator of the text of a musicalwork, eg musical, opera or song"
magazine,dbo:magazine,dbo:WrittenWork,dbo:Magazine,magazine
maiden flight rocket,dbo:maidenFlightRocket,dbo:YearInSpaceflight,dbo:Rocket,maiden flight rocket
main article for Wikipedia category,dbo:mainArticleForCategory,http://www.w3.org/2004/02/skos/core#Concept,,"main article for wikipedia category, a property for linking wikipedia categories to its main articles, derived from top templates of some category pages."
main artist,dbo:mainArtist,dbo:MusicalWork,dbo:Agent,"main artist, name of the main artist in the group."
main character,dbo:mainCharacter,dbo:Work,dbo:Person,main character
main domain,dbo:mainDomain,dbo:Person,,main domain
main branch,dbo:mainFamilyBranch,dbo:NobleFamily,dbo:Family,main branch
main interest,dbo:mainInterest,,,main interest
main island,dbo:mainIsland,dbo:Place,dbo:Place,main island
main organ,dbo:mainOrgan,dbo:Organisation,,main organ
maintained by,dbo:maintainedBy,dbo:ArchitecturalStructure,,maintained by
major island,dbo:majorIsland,dbo:Island,dbo:Island,major island
major shrine,dbo:majorShrine,dbo:Saint,,major shrine
makeup artist,dbo:makeupArtist,dbo:Film,dbo:Person,"makeup artist, the person who is responsible for the actors makeup"
management,dbo:management,,,management
management country,dbo:managementCountry,dbo:Island,dbo:Country,management country
management mountain,dbo:managementMountain,,dbo:Mountain,management mountain
management place,dbo:managementPlace,,dbo:PopulatedPlace,management place
management position,dbo:managementPosition,,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,management position
management region,dbo:managementRegion,dbo:Island,dbo:PopulatedPlace,management region
manager,dbo:manager,dbo:SportsTeam,dbo:Person,manager
manager club,dbo:managerClub,dbo:Athlete,dbo:SportsTeam,manager club
manager season,dbo:managerSeason,dbo:Agent,,manager season
managing editor,dbo:managingEditor,dbo:Newspaper,dbo:Person,managing editor
manufactory,dbo:manufactory,,dbo:Factory,manufactory
manufacturer,dbo:manufacturer,,dbo:Organisation,manufacturer
map,dbo:map,dbo:Place,,"map, a map of the place."
march,dbo:march,dbo:MilitaryUnit,dbo:MusicalWork,march
massif,dbo:massif,dbo:SkiResort,dbo:Place,massif
masters wins,dbo:mastersWins,dbo:Person,http://www.w3.org/2004/02/skos/core#Concept,masters wins
material,dbo:material,,,material
mayor,dbo:mayor,,dbo:Mayor,mayor
medalist,dbo:medalist,dbo:SportsEvent,dbo:Person,medalist
media,dbo:media,dbo:Person,,media
media item,dbo:mediaItem,,dbo:File,"media item, a media file (such as audio, video or images) associated with the subject"
media type,dbo:mediaType,dbo:WrittenWork,,"media type, print / on-line (then binding types etc. if relevant)"
medical cause,dbo:medicalCause,dbo:Disease,,medical cause
medical diagnosis,dbo:medicalDiagnosis,dbo:Disease,,medical diagnosis
medical specialty,dbo:medicalSpecialty,dbo:Disease,dbo:MedicalSpecialty,medical specialty
medication,dbo:medication,dbo:Disease,,medication
meeting building,dbo:meetingBuilding,dbo:Legislature,dbo:Building,meeting building
meeting city,dbo:meetingCity,dbo:Legislature,dbo:Settlement,meeting city
meeting road,dbo:meetingRoad,dbo:RoadJunction,dbo:Road,"meeting road, a road that crosses another road at the junction."
Member of Parliament,dbo:memberOfParliament,,dbo:Person,member of parliament
mentor,dbo:mentor,dbo:Artist,dbo:Artist,"mentor, a wise and trusted counselor or teacher"
merged settlement,dbo:mergedSettlement,dbo:Settlement,dbo:Settlement,merged settlement
merged with,dbo:mergedWith,dbo:Organisation,dbo:Organisation,merged with
metropolitan borough,dbo:metropolitanBorough,dbo:PopulatedPlace,dbo:PopulatedPlace,metropolitan borough
military branch,dbo:militaryBranch,dbo:MilitaryPerson,dbo:MilitaryUnit,"military branch, the service branch (army, navy, etc.) a person is part of."
military rank,dbo:militaryRank,dbo:MilitaryPerson,,"military rank, the highest rank achieved by a person."
military service,dbo:militaryService,dbo:Person,dbo:MilitaryService,military service
military unit,dbo:militaryUnit,dbo:MilitaryPerson,dbo:MilitaryUnit,"military unit, for persons who are not notable as commanding officers, the unit (company, battalion, regiment, etc.) in which they served."
mill type,dbo:millType,dbo:Mill,,mill type
minister,dbo:minister,,dbo:Politician,minister
minority,dbo:minority,dbo:Settlement,dbo:Group,minority
mission,dbo:mission,,dbo:SpaceMission,mission
monarch,dbo:monarch,,dbo:Person,monarch
most down point of a norwegian settlement,dbo:mostDownPoint,dbo:NorwaySettlement,dbo:Place,most down point of a norwegian settlement
most successful player,dbo:mostSuccessfulPlayer,dbo:SportsEvent,dbo:Athlete,"most successful player, the best player in a certain sport competition. e.g, in a football competition, the player that scored more goals."
most wins,dbo:mostWins,dbo:Race,,most wins
mother,dbo:mother,dbo:Woman,dbo:Person,mother
mountain range,dbo:mountainRange,dbo:Mountain,dbo:MountainRange,mountain range
mouth country,dbo:mouthCountry,dbo:River,dbo:Country,mouth country
mouth district,dbo:mouthDistrict,dbo:River,dbo:PopulatedPlace,mouth district
mouth mountain,dbo:mouthMountain,dbo:River,dbo:Mountain,mouth mountain
mouth place,dbo:mouthPlace,dbo:River,dbo:PopulatedPlace,mouth place
mouth position,dbo:mouthPosition,dbo:River,http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,mouth position
mouth region,dbo:mouthRegion,dbo:River,dbo:PopulatedPlace,mouth region
mouth state,dbo:mouthState,dbo:River,dbo:PopulatedPlace,mouth state
movement,dbo:movement,dbo:Artist,,"movement, artistic movement or school with which artist is associated"
movie,dbo:movie,dbo:Person,dbo:Film,movie
municipality,dbo:municipality,,dbo:PopulatedPlace,municipality
absorbed by,dbo:municipalityAbsorbedBy,dbo:FormerMunicipality,dbo:Municipality,absorbed by
museum,dbo:museum,dbo:Artwork,dbo:Museum,museum
museumType,dbo:museumType,dbo:Museum,,"museumtype, this property has been added  because 'buildingtype' is much more about the place, whereas 'museumtype' is about the way the place is being (or:was) used"
Music Band,dbo:musicBand,dbo:MusicalArtist,dbo:Band,music band
music by,dbo:musicBy,dbo:Musical,dbo:Person,music by
music composer,dbo:musicComposer,dbo:Work,dbo:MusicalArtist,music composer
music fusion genre,dbo:musicFusionGenre,dbo:MusicGenre,dbo:MusicGenre,music fusion genre
music subgenre,dbo:musicSubgenre,dbo:MusicGenre,dbo:MusicGenre,music subgenre
musicType,dbo:musicType,dbo:MusicalWork,,"musictype, type is too general. we should be able to distinguish types of music from types of architecture"
musical artist,dbo:musicalArtist,dbo:Single,dbo:MusicalArtist,musical artist
musical band,dbo:musicalBand,dbo:Single,dbo:Band,musical band
musicians,dbo:musicians,dbo:Instrument,dbo:MusicalArtist,musicians
mythology,dbo:mythology,dbo:MythologicalFigure,,mythology
NAACP Image Award,dbo:naacpImageAward,dbo:Actor,dbo:Award,naacp image award
named after,dbo:namedAfter,,,named after
named by language,dbo:namedByLanguage,dbo:Place,dbo:Place,named by language
narrator,dbo:narrator,dbo:Work,dbo:Person,narrator
national affiliation,dbo:nationalAffiliation,dbo:PoliticalParty,,national affiliation
National Film Award,dbo:nationalFilmAward,dbo:Actor,dbo:Award,national film award
National Olympic Committee,dbo:nationalOlympicCommittee,dbo:OlympicResult,,national olympic committee
national selection,dbo:nationalSelection,dbo:Agent,,national selection
national team,dbo:nationalTeam,dbo:Athlete,dbo:SportsTeam,national team
National tournament,dbo:nationalTournament,dbo:Person,dbo:Tournament,national tournament
nationality,dbo:nationality,dbo:Person,dbo:Country,nationality
ncaa team,dbo:ncaaTeam,dbo:Athlete,dbo:SportsTeam,ncaa team
nearest city,dbo:nearestCity,dbo:Place,dbo:PopulatedPlace,nearest city
neighboring municipality,dbo:neighboringMunicipality,dbo:PopulatedPlace,dbo:PopulatedPlace,neighboring municipality
nerve,dbo:nerve,dbo:AnatomicalStructure,dbo:Nerve,nerve
network,dbo:network,dbo:Broadcaster,dbo:Broadcaster,network
newspaper,dbo:newspaper,,dbo:PeriodicalLiterature,newspaper
next entity,dbo:nextEntity,dbo:Place,dbo:Place,next entity
next event,dbo:nextEvent,dbo:Event,dbo:Event,next event
next mission,dbo:nextMission,dbo:SpaceMission,dbo:SpaceMission,next mission
nfl team,dbo:nflTeam,dbo:Athlete,dbo:SportsTeam,nfl team
nobel laureates,dbo:nobelLaureates,dbo:School,dbo:Person,nobel laureates
nominee,dbo:nominee,,dbo:Person,nominee
non-fiction subject,dbo:nonFictionSubject,dbo:WrittenWork,,"non-fiction subject, the subject of a non-fiction book (e.g.: history, biography, cookbook, climate change, ...)."
north-east place,dbo:northEastPlace,dbo:Place,dbo:Place,"north-east place, indicates another place situated north-east."
north place,dbo:northPlace,dbo:Place,dbo:Place,"north place, indicates another place situated north."
north-west place,dbo:northWestPlace,dbo:Place,dbo:Place,"north-west place, indicates another place situated north-west."
not soluble in,dbo:notSolubleIn,dbo:ChemicalSubstance,dbo:ChemicalSubstance,not soluble in
notable commander,dbo:notableCommander,dbo:MilitaryUnit,dbo:Person,notable commander
notableIdea,dbo:notableIdea,dbo:Person,,notableidea
notable student,dbo:notableStudent,dbo:Scientist,dbo:Person,notable student
notable wine,dbo:notableWine,dbo:Grape,,notable wine
notable work,dbo:notableWork,,dbo:Work,"notable work, notable work created by the subject (eg writer, artist, engineer) or about the subject (eg concentrationcamp)"
novel,dbo:novel,dbo:FictionalCharacter,dbo:Novel,novel
NRHP type,dbo:nrhpType,dbo:HistoricPlace,,"nrhp type, type of historic place as defined by the us national park service. for instance national historic landmark, national monument or national battlefield."
number of classrooms,dbo:numberOfClassrooms,dbo:School,,number of classrooms
occupation,dbo:occupation,,dbo:PersonFunction,occupation
officer in charge,dbo:officerInCharge,dbo:University,dbo:Person,officer in charge
official language,dbo:officialLanguage,dbo:PopulatedPlace,dbo:Language,official language
official opened by,dbo:officialOpenedBy,dbo:Olympics,dbo:Person,official opened by
oil system,dbo:oilSystem,dbo:AutomobileEngine,,oil system
old district,dbo:oldDistrict,dbo:PopulatedPlace,dbo:PopulatedPlace,old district
old province,dbo:oldProvince,dbo:PopulatedPlace,dbo:PopulatedPlace,old province
old team coached,dbo:oldTeamCoached,dbo:Athlete,dbo:SportsTeam,old team coached
Olivier Award,dbo:olivierAward,dbo:Comedian,dbo:Award,olivier award
olympic games,dbo:olympicGames,dbo:Person,dbo:Tournament,olympic games
olympic oath sworn by,dbo:olympicOathSwornBy,dbo:Olympics,dbo:Person,olympic oath sworn by
olympic oath sworn by athlete,dbo:olympicOathSwornByAthlete,dbo:Olympics,dbo:Person,olympic oath sworn by athlete
olympic oath sworn by judge,dbo:olympicOathSwornByJudge,dbo:Olympics,dbo:Person,olympic oath sworn by judge
opening film,dbo:openingFilm,dbo:FilmFestival,dbo:Film,opening film
