label,short,shortDomain,shortRange,description
cable car,dbo:cableCar,dbo:Place,xsd:nonNegativeInteger,cable car of place
call sign,dbo:callSign,,xsd:string,call sign
call sign meaning,dbo:callsignMeaning,dbo:Broadcaster,xsd:string,call sign meaning of broadcaster
campus size (m2),dbo:campusSize,dbo:School,xsd:double,campus size of school
campus type,dbo:campusType,dbo:EducationalInstitution,rdf:langString,campus type of educational institution
can baggage checked,dbo:canBaggageChecked,dbo:Station,xsd:boolean,can baggage checked of station
cannon number,dbo:cannonNumber,dbo:Place,xsd:nonNegativeInteger,cannon number of place
canonized date,dbo:canonizedDate,dbo:Saint,xsd:date,canonized date of saint
capacity,dbo:capacity,,xsd:nonNegativeInteger,capacity
capacity factor,dbo:capacityFactor,dbo:PowerStation,xsd:float,capacity factor of power station
capital coordinates,dbo:capitalCoordinates,dbo:Place,xsd:string,capital coordinates of place
capital elevation (μ),dbo:capitalElevation,dbo:Island,xsd:double,capital elevation of island
capture date,dbo:captureDate,dbo:Ship,xsd:date,capture date of ship
car number,dbo:carNumber,dbo:FormulaOneRacer,xsd:integer,car number of formula one racer
carbohydrate (g),dbo:carbohydrate,dbo:Food,xsd:double,carbohydrate of food
carcinogen,dbo:carcinogen,dbo:ChemicalSubstance,xsd:string,carcinogen of chemical substance
career points,dbo:careerPoints,dbo:FormulaOneRacer,xsd:integer,career points of formula one racer
career prize money ($),dbo:careerPrizeMoney,dbo:TennisPlayer,xsd:double,career prize money of tennis player
cargo fuel (g),dbo:cargoFuel,dbo:Spacecraft,xsd:double,cargo fuel of spacecraft
cargo gas (g),dbo:cargoGas,dbo:Spacecraft,xsd:double,cargo gas of spacecraft
cargo water (g),dbo:cargoWater,dbo:Spacecraft,xsd:double,cargo water of spacecraft
CAS number,dbo:casNumber,,xsd:string,cas number
CAS supplemental,dbo:casSupplemental,,xsd:string,cas supplemental
case,dbo:case,dbo:Person,xsd:string,case of person
casualties,dbo:casualties,"dbo:MilitaryConflict_,_NaturalEvent_,_Attack",xsd:integer,"casualties of military conflict_,_ natural event_,_ attack"
catch,dbo:catch,dbo:Person,xsd:string,catch of person
catholic percentage,dbo:catholicPercentage,dbo:PopulatedPlace,xsd:string,catholic percentage of populated place
causalties,dbo:causalties,dbo:MilitaryConflict,xsd:string,causalties of military conflict
cause of death,dbo:causeOfDeath,dbo:Person,xsd:string,cause of death of person
cca state,dbo:ccaState,dbo:PopulatedPlace,xsd:string,cca state of populated place
ceeb,dbo:ceeb,dbo:School,xsd:string,ceeb of school
ceiling,dbo:ceiling,dbo:Aircraft,xsd:positiveInteger,ceiling of aircraft
census year,dbo:censusYear,dbo:PopulatedPlace,xsd:gYear,census year of populated place
norwegian center,dbo:center,dbo:NorwaySettlement,xsd:string,norwegian center of norway settlement
century breaks,dbo:centuryBreaks,dbo:SnookerPlayer,xsd:integer,century breaks of snooker player
certification,dbo:certification,dbo:Single,xsd:string,certification of single
certification date,dbo:certificationDate,dbo:Single,xsd:date,certification date of single
ChEBI,dbo:chEBI,dbo:Drug,xsd:string,chebi of drug
ChEMBL,dbo:chEMBL,dbo:ChemicalSubstance,xsd:string,chembl of chemical substance
chairman title,dbo:chairmanTitle,dbo:SoccerClub,rdf:langString,chairman title of soccer club
championships,dbo:championships,dbo:Agent,xsd:nonNegativeInteger,championships of agent
character in play,dbo:characterInPlay,dbo:Play,xsd:string,character in play of play
ChemSpider Id,dbo:chemSpiderId,dbo:ChemicalSubstance,xsd:string,chemspider id of chemical substance
chemical formula,dbo:chemicalFormula,dbo:ChemicalSubstance,xsd:string,chemical formula of chemical substance
chorus character in play,dbo:chorusCharacterInPlay,dbo:Play,xsd:string,chorus character in play of play
date of christening,dbo:christeningDate,dbo:Ship,xsd:date,date of christening of ship
chromosome,dbo:chromosome,dbo:Protein,xsd:string,chromosome of protein
region,dbo:circle,dbo:PopulatedPlace,xsd:string,region of populated place
circuit length (μ),dbo:circuitLength,dbo:FormulaOneRacing,xsd:double,circuit length of formula one racing
circuit name,dbo:circuitName,dbo:FormulaOneRacing,rdf:langString,circuit name of formula one racing
circulation,dbo:circulation,dbo:WrittenWork,xsd:nonNegativeInteger,circulation of written work
circumcised,dbo:circumcised,dbo:Person,xsd:string,circumcised of person
cites,dbo:cites,dbo:Work,xsd:string,cites of work
city link,dbo:cityLink,dbo:Place,xsd:string,city link of place
city rank,dbo:cityRank,dbo:Skyscraper,xsd:nonNegativeInteger,city rank of skyscraper
city since,dbo:citySince,dbo:PopulatedPlace,xsd:string,city since of populated place
city type,dbo:cityType,dbo:PopulatedPlace,xsd:string,city type of populated place
classes,dbo:classes,dbo:School,xsd:nonNegativeInteger,classes of school
classification,dbo:classification,,xsd:string,classification
clip up number,dbo:climbUpNumber,dbo:Place,xsd:nonNegativeInteger,clip up number of place
closed,dbo:closed,dbo:EducationalInstitution,xsd:date,closed of educational institution
closing date,dbo:closingDate,,xsd:date,closing date
closing year,dbo:closingYear,,xsd:gYear,closing year
cloth size,dbo:clothSize,dbo:Person,xsd:string,cloth size of person
clothing size,dbo:clothingSize,dbo:Person,xsd:string,clothing size of person
CMP EVA duration (s),dbo:cmpEvaDuration,dbo:SpaceMission,xsd:double,cmp eva duration of space mission
black coordinate in the CMYK space,dbo:cmykCoordinateBlack,dbo:Colour,xsd:integer,black coordinate in the cmyk space of colour
cyanic coordinate in the CMYK space,dbo:cmykCoordinateCyanic,dbo:Colour,xsd:integer,cyanic coordinate in the cmyk space of colour
magenta coordinate in the CMYK space,dbo:cmykCoordinateMagenta,dbo:Colour,xsd:integer,magenta coordinate in the cmyk space of colour
yellow coordinate in the CMYK space,dbo:cmykCoordinateYellow,dbo:Colour,xsd:integer,yellow coordinate in the cmyk space of colour
CO2 emission (g/km),dbo:co2Emission,dbo:AutomobileEngine,xsd:double,co2 emission of automobile engine
coach season,dbo:coachSeason,dbo:Athlete,xsd:string,coach season of athlete
coaching record,dbo:coachingRecord,dbo:CollegeCoach,xsd:string,coaching record of college coach
coalition,dbo:coalition,dbo:Person,xsd:string,coalition of person
length of a coast,dbo:coastLength,dbo:Place,xsd:float,length of a coast of place
coast line (μ),dbo:coastLine,dbo:Settlement,xsd:double,coast line of settlement
code,dbo:code,,xsd:string,code
code book,dbo:codeBook,dbo:LegalCase,xsd:string,code book of legal case
City district code,dbo:codeDistrict,dbo:CityDistrict,xsd:string,city district code of city district
code on index,dbo:codeIndex,dbo:MemberResistanceMovement,xsd:string,code on index of member resistance movement
code on List of Honour,dbo:codeListOfHonour,dbo:MemberResistanceMovement,xsd:string,code on list of honour of member resistance movement
memorial ID number,dbo:codeMemorial,dbo:Memorial,xsd:string,memorial id number of memorial
monument code (municipal),dbo:codeMunicipalMonument,dbo:Place,xsd:string,monument code of place
monument code (national),dbo:codeNationalMonument,dbo:Place,xsd:string,monument code of place
monument code (provinciall),dbo:codeProvincialMonument,dbo:Place,xsd:string,monument code of place
settlement code,dbo:codeSettlement,dbo:Settlement,xsd:string,settlement code of settlement
code Stock Exchange,dbo:codeStockExchange,dbo:Company,xsd:string,code stock exchange of company
CODEN,dbo:coden,dbo:WrittenWork,xsd:string,coden of written work
collection,dbo:collection,dbo:Museum,xsd:string,collection of museum
college hof,dbo:collegeHof,dbo:Athlete,xsd:string,college hof of athlete
colonial name,dbo:colonialName,dbo:PopulatedPlace,xsd:string,colonial name of populated place
colorChart,dbo:colorChart,dbo:FictionalCharacter,xsd:string,colorchart of fictional character
colour hex code,dbo:colourHexCode,,xsd:string,colour hex code
colour name,dbo:colourName,,rdf:langString,colour name
combatant,dbo:combatant,dbo:MilitaryConflict,xsd:string,combatant of military conflict
comitat of a settlement,dbo:comitat,dbo:HungarySettlement,xsd:string,comitat of a settlement of hungary settlement
command,dbo:command,dbo:MilitaryPerson,xsd:string,command of military person
command module,dbo:commandModule,dbo:SpaceMission,xsd:string,command module of space mission
comment,dbo:comment,,xsd:string,comment
commissioner date,dbo:commissionerDate,dbo:PopulatedPlace,xsd:string,commissioner date of populated place
commissioning date,dbo:commissioningDate,dbo:Ship,xsd:date,commissioning date of ship
committee,dbo:committee,,xsd:string,committee
common name,dbo:commonName,,rdf:langString,common name
iso code of a community,dbo:communityIsoCode,dbo:PopulatedPlace,xsd:string,iso code of a community of populated place
completion date,dbo:completionDate,dbo:Work,xsd:date,completion date of work
complexity,dbo:complexity,dbo:Food,xsd:string,complexity of food
complications,dbo:complications,dbo:Disease,xsd:string,complications of disease
compression ratio,dbo:compressionRatio,dbo:AutomobileEngine,xsd:string,compression ratio of automobile engine
configuration,dbo:configuration,dbo:AutomobileEngine,dbd:engineConfiguration,configuration of automobile engine in engine configuration
Confirmed Cases,dbo:confirmedCases,dbo:Outbreak,xsd:integer,confirmed cases of outbreak
consecration,dbo:consecration,dbo:Cleric,xsd:string,consecration of cleric
conservation status,dbo:conservationStatus,dbo:Species,xsd:string,conservation status of species
conservation status system,dbo:conservationStatusSystem,dbo:Species,xsd:string,conservation status system of species
continent rank,dbo:continentRank,dbo:Skyscraper,xsd:nonNegativeInteger,continent rank of skyscraper
continental tournament bronze,dbo:continentalTournamentBronze,dbo:Person,xsd:nonNegativeInteger,continental tournament bronze of person
continental tournament gold,dbo:continentalTournamentGold,dbo:Person,xsd:nonNegativeInteger,continental tournament gold of person
continental tournament silver,dbo:continentalTournamentSilver,dbo:Person,xsd:nonNegativeInteger,continental tournament silver of person
contract award,dbo:contractAward,dbo:SpaceShuttle,xsd:date,contract award of space shuttle
conviction date,dbo:convictionDate,dbo:Person,xsd:date,conviction date of person
coronation date,dbo:coronationDate,dbo:Royalty,xsd:date,coronation date of royalty
COSPAR id,dbo:cosparId,,xsd:string,cospar id
cost ($),dbo:cost,,xsd:double,cost
council of a liechtenstein settlement,dbo:council,dbo:LiechtensteinSettlement,xsd:string,council of a liechtenstein settlement of liechtenstein settlement
country code,dbo:countryCode,dbo:Place,xsd:string,country code of place
country rank,dbo:countryRank,dbo:Skyscraper,xsd:nonNegativeInteger,country rank of skyscraper
course (μ),dbo:course,dbo:GrandPrix,xsd:double,course of grand prix
course area (m2),dbo:courseArea,,xsd:double,course area
creation christian bishop,dbo:creationChristianBishop,dbo:Bishop,xsd:string,creation christian bishop of bishop
year of creation,dbo:creationYear,,xsd:gYear,year of creation
credit,dbo:credit,dbo:Openswarm,xsd:string,credit of openswarm
crew size,dbo:crewSize,dbo:SpaceMission,xsd:nonNegativeInteger,crew size of space mission
crews,dbo:crews,dbo:SpaceShuttle,xsd:nonNegativeInteger,crews of space shuttle
criminal charge,dbo:criminalCharge,dbo:Criminal,xsd:string,criminal charge of criminal
criteria,dbo:criteria,,xsd:string,criteria
crown dependency,dbo:crownDependency,dbo:City,xsd:string,crown dependency of city
cuisine,dbo:cuisine,,xsd:string,cuisine
currency code,dbo:currencyCode,dbo:Place,xsd:string,currency code of place
current rank,dbo:currentRank,dbo:SnookerPlayer,xsd:integer,current rank of snooker player
current record,dbo:currentRecord,dbo:CollegeCoach,xsd:string,current record of college coach
current status,dbo:currentStatus,,xsd:string,current status
currently used for,dbo:currentlyUsedFor,dbo:ArchitecturalStructure,xsd:string,currently used for of architectural structure
cylinder bore (μ),dbo:cylinderBore,dbo:AutomobileEngine,xsd:double,cylinder bore of automobile engine
cylinder count,dbo:cylinderCount,dbo:Locomotive,xsd:nonNegativeInteger,cylinder count of locomotive
danse competition,dbo:danseCompetition,dbo:Person,xsd:string,danse competition of person
danse score,dbo:danseScore,dbo:Person,xsd:string,danse score of person
date,dbo:date,,xsd:date,date
date act,dbo:dateAct,dbo:Canal,xsd:date,date act of canal
date of an agreement,dbo:dateAgreement,dbo:Place,xsd:date,date of an agreement of place
date budget,dbo:dateBudget,,xsd:date,date budget
date closed,dbo:dateClosed,dbo:Canal,xsd:date,date closed of canal
date completed,dbo:dateCompleted,dbo:Canal,xsd:date,date completed of canal
date construction,dbo:dateConstruction,dbo:Canal,xsd:date,date construction of canal
date extended,dbo:dateExtended,dbo:Canal,xsd:date,date extended of canal
Date Last Updated,dbo:dateLastUpdated,dbo:Document,xsd:date,date last updated of document
date of abandonment,dbo:dateOfAbandonment,,xsd:date,date of abandonment
date of burial,dbo:dateOfBurial,dbo:Person,xsd:date,date of burial of person
date unveiled,dbo:dateUnveiled,dbo:Monument,xsd:date,date unveiled of monument
date use,dbo:dateUse,dbo:Canal,xsd:date,date use of canal
day,dbo:day,dbo:Settlement,xsd:date,day of settlement
Digital Library code NL,dbo:dbnlCodeDutch,dbo:Writer,xsd:string,digital library code nl of writer
Dewey Decimal Classification,dbo:dcc,dbo:Work,xsd:string,dewey decimal classification of work
dead in fight date,dbo:deadInFightDate,dbo:Person,xsd:string,dead in fight date of person
dead in fight place,dbo:deadInFightPlace,dbo:Person,xsd:string,dead in fight place of person
death age,dbo:deathAge,dbo:Person,xsd:nonNegativeInteger,death age of person
death date,dbo:deathDate,dbo:Animal,xsd:date,death date of animal
death year,dbo:deathYear,dbo:Person,xsd:gYear,death year of person
debut,dbo:debut,dbo:Wrestler,xsd:date,debut of wrestler
dec,dbo:dec,dbo:Openswarm,xsd:string,dec of openswarm
decay,dbo:decay,dbo:Spacecraft,xsd:date,decay of spacecraft
decide date,dbo:decideDate,dbo:SupremeCourtOfTheUnitedStatesCase,xsd:date,decide date of supreme court of the united states case
declination,dbo:declination,dbo:Constellation,xsd:nonNegativeInteger,declination of constellation
decommissioning date,dbo:decommissioningDate,dbo:Ship,xsd:date,decommissioning date of ship
defeat,dbo:defeat,dbo:Boxer,xsd:nonNegativeInteger,defeat of boxer
defeat as team manager,dbo:defeatAsMgr,dbo:Coach,xsd:nonNegativeInteger,defeat as team manager of coach
definition,dbo:definition,dbo:Galaxy,xsd:string,definition of galaxy
Defunct,dbo:defunct,dbo:company,xsd:boolean,defunct of company
delegation,dbo:delegation,dbo:PopulatedPlace,xsd:string,delegation of populated place
delivery date,dbo:deliveryDate,,xsd:date,delivery date
deme,dbo:deme,dbo:PopulatedPlace,xsd:string,deme of populated place
demographics as of,dbo:demographicsAsOf,dbo:PopulatedPlace,xsd:date,demographics as of of populated place
demolition date,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,demolition date of architectural structure
demolition year,dbo:demolitionYear,dbo:ArchitecturalStructure,xsd:gYear,demolition year of architectural structure
demonym,dbo:demonym,,rdf:langString,demonym
density (μ3),dbo:density,,xsd:double,density
geolocDepartment,dbo:departmentPosition,dbo:PopulatedPlace,xsd:string,geolocdepartment of populated place
depiction description (caption),dbo:depictionDescription,,rdf:langString,depiction description
depth (μ),dbo:depth,dbo:Place,xsd:double,depth of place
depth quote,dbo:depthQuote,dbo:Place,xsd:string,depth quote of place
derived word,dbo:derivedWord,dbo:Person,xsd:string,derived word of person
description,dbo:description,,rdf:langString,description
destruction date,dbo:destructionDate,,xsd:date,destruction date
Method of discovery,dbo:detectionMethod,dbo:Planet,xsd:string,method of discovery of planet
diameter (μ),dbo:diameter,,xsd:double,diameter
digital channel,dbo:digitalChannel,dbo:Broadcaster,xsd:string,digital channel of broadcaster
digital sub channel,dbo:digitalSubChannel,dbo:Broadcaster,xsd:string,digital sub channel of broadcaster
date disappearance of a populated place,dbo:disappearanceDate,dbo:PopulatedPlace,xsd:date,date disappearance of a populated place of populated place
disbanded,dbo:disbanded,dbo:MilitaryUnit,xsd:date,disbanded of military unit
discharge (m³/s),dbo:discharge,dbo:Stream,xsd:double,discharge of stream
discharge average (m³/s),dbo:dischargeAverage,dbo:MeanOfTransportation,xsd:double,discharge average of mean of transportation
discontinued,dbo:discontinued,dbo:Beverage,xsd:date,discontinued of beverage
discovery date,dbo:discovered,dbo:CelestialBody,xsd:date,discovery date of celestial body
date when the island has been discovered,dbo:discovery,dbo:Island,xsd:string,date when the island has been discovered of island
DiseasesDB,dbo:diseasesDB,dbo:Disease,xsd:string,diseasesdb of disease
diseasesDb,dbo:diseasesDb,dbo:Disease,xsd:string,diseasesdb of disease
displacement (μ³),dbo:displacement,dbo:AutomobileEngine,xsd:double,displacement of automobile engine
dissolution date,dbo:dissolutionDate,"dbo:Organisation,_PopulatedPlace",xsd:date,"dissolution date of organisation,_ populated place"
dissolution year,dbo:dissolutionYear,"dbo:Organisation,_PopulatedPlace",xsd:gYear,"dissolution year of organisation,_ populated place"
dissolved,dbo:dissolved,dbo:SoccerClub,xsd:date,dissolved of soccer club
dist_ly,dbo:dist_ly,dbo:Openswarm,xsd:string,dist_ly of openswarm
dist_pc,dbo:dist_pc,dbo:Openswarm,xsd:integer,dist_pc of openswarm
distance (μ),dbo:distance,,xsd:double,distance
distance laps,dbo:distanceLaps,dbo:GrandPrix,xsd:nonNegativeInteger,distance laps of grand prix
distance to Belfast (μ),dbo:distanceToBelfast,dbo:Settlement,xsd:double,distance to belfast of settlement
distance to capital (μ),dbo:distanceToCapital,dbo:Settlement,xsd:double,distance to capital of settlement
distance to Cardiff (μ),dbo:distanceToCardiff,dbo:Settlement,xsd:double,distance to cardiff of settlement
distance to Charing Cross (μ),dbo:distanceToCharingCross,dbo:Settlement,xsd:double,distance to charing cross of settlement
distance to Douglas (μ),dbo:distanceToDouglas,dbo:Settlement,xsd:double,distance to douglas of settlement
distance to Dublin (μ),dbo:distanceToDublin,dbo:Settlement,xsd:double,distance to dublin of settlement
distance to Edinburgh (μ),dbo:distanceToEdinburgh,dbo:Settlement,xsd:double,distance to edinburgh of settlement
distance to London (μ),dbo:distanceToLondon,dbo:Settlement,xsd:double,distance to london of settlement
distance to nearest city (μ),dbo:distanceToNearestCity,dbo:Settlement,xsd:double,distance to nearest city of settlement
distance traveled (μ),dbo:distanceTraveled,dbo:SpaceMission,xsd:double,distance traveled of space mission
docked time (s),dbo:dockedTime,dbo:Spacecraft,xsd:double,docked time of spacecraft
String designation of the WrittenWork describing the resource,dbo:documentDesignation,,xsd:string,string designation of the writtenwork describing the resource
document number,dbo:documentNumber,dbo:Document,xsd:string,document number of document
DorlandsID,dbo:dorlandsId,dbo:AnatomicalStructure,xsd:string,dorlandsid of anatomical structure
Dorlands prefix,dbo:dorlandsPrefix,dbo:AnatomicalStructure,xsd:string,dorlands prefix of anatomical structure
Dorlands suffix,dbo:dorlandsSuffix,dbo:AnatomicalStructure,xsd:string,dorlands suffix of anatomical structure
Dose,dbo:dose,,xsd:integer,dose
DosesFirst,dbo:dosesFirst,,xsd:integer,dosesfirst
DosesSecond,dbo:dosesSecond,,xsd:integer,dosessecond
draft,dbo:draft,,xsd:string,draft
draft league,dbo:draftLeague,dbo:Athlete,xsd:string,draft league of athlete
draft pick,dbo:draftPick,dbo:GridironFootballPlayer,xsd:string,draft pick of gridiron football player
draft position,dbo:draftPosition,dbo:Athlete,xsd:nonNegativeInteger,draft position of athlete
draft round,dbo:draftRound,dbo:GridironFootballPlayer,xsd:string,draft round of gridiron football player
draft year,dbo:draftYear,,xsd:gYear,draft year
dress code,dbo:dressCode,dbo:Restaurant,xsd:string,dress code of restaurant
Drug,dbo:drug,,rdf:langString,drug
DrugBank,dbo:drugbank,,xsd:string,drugbank
dry cargo (g),dbo:dryCargo,dbo:Spacecraft,xsd:double,dry cargo of spacecraft
duration (s),dbo:duration,,xsd:double,duration
Dutch artwork code,dbo:dutchArtworkCode,dbo:Artwork,xsd:string,dutch artwork code of artwork
Dutch COROP code,dbo:dutchCOROPCode,dbo:Region,xsd:string,dutch corop code of region
monument code for the Monuments Inventory Project,dbo:dutchMIPCode,"dbo:ArchitecturalStructure,_Monument",xsd:string,"monument code for the monuments inventory project of architectural structure,_ monument"
Identifier for Duch National Archive,dbo:dutchNAIdentifier,dbo:MemberResistanceMovement,xsd:string,identifier for duch national archive of member resistance movement
Dutch PPN code,dbo:dutchPPNCode,dbo:WrittenWork,xsd:string,dutch ppn code of written work
Dutch RKD code,dbo:dutchRKDCode,dbo:Artist,xsd:string,dutch rkd code of artist
Dutch PPN code,dbo:dutchWinkelID,dbo:UndergroundJournal,xsd:string,dutch ppn code of underground journal
eMedicine subject,dbo:eMedicineSubject,dbo:Disease,rdf:langString,emedicine subject of disease
eMedicine topic,dbo:eMedicineTopic,dbo:Disease,rdf:langString,emedicine topic of disease
e-teatr.pl id,dbo:eTeatrId,dbo:Film,xsd:string,e-teatr.pl id of film
EC number,dbo:ecNumber,dbo:Biomolecule,xsd:string,ec number of biomolecule
editor title,dbo:editorTitle,dbo:Magazine,rdf:langString,editor title of magazine
effectiveRadiatedPower (W),dbo:effectiveRadiatedPower,dbo:Broadcaster,xsd:double,effectiveradiatedpower of broadcaster
egafd id,dbo:egafdId,dbo:Film,xsd:string,egafd id of film
EINECS number,dbo:einecsNumber,,xsd:string,einecs number
EKATTE code,dbo:ekatteCode,dbo:PopulatedPlace,xsd:string,ekatte code of populated place
election date,dbo:electionDate,dbo:Person,xsd:date,election date of person
election date leader,dbo:electionDateLeader,dbo:Legislature,xsd:date,election date leader of legislature
election majority,dbo:electionMajority,,xsd:nonNegativeInteger,election majority
element block,dbo:elementBlock,dbo:ChemicalElement,xsd:string,element block of chemical element
element group,dbo:elementGroup,dbo:ChemicalElement,xsd:nonNegativeInteger,element group of chemical element
element period,dbo:elementPeriod,dbo:ChemicalElement,xsd:nonNegativeInteger,element period of chemical element
elevation (μ),dbo:elevation,dbo:Place,xsd:double,elevation of place
elevation quote,dbo:elevationQuote,dbo:Place,xsd:string,elevation quote of place
elevator count,dbo:elevatorCount,dbo:Building,xsd:nonNegativeInteger,elevator count of building
ELO rating,dbo:elo,dbo:ChessPlayer,xsd:nonNegativeInteger,elo rating of chess player
maximum ELO rating,dbo:eloRecord,dbo:ChessPlayer,xsd:nonNegativeInteger,maximum elo rating of chess player
emblem,dbo:emblem,dbo:PopulatedPlace,xsd:string,emblem of populated place
employer's celebration,dbo:employersCelebration,dbo:Settlement,xsd:string,employer's celebration of settlement
end,dbo:end,dbo:TimePeriod,xsd:date,end of time period
end career,dbo:endCareer,dbo:Person,xsd:string,end career of person
end date,dbo:endDate,dbo:Event,xsd:date,end date of event
end date and time,dbo:endDateTime,dbo:Event,xsd:dateTime,end date and time of event
end occupation,dbo:endOccupation,,xsd:string,end occupation
end year,dbo:endYear,,xsd:gYear,end year
end year of insertion,dbo:endYearOfInsertion,dbo:AutomobileEngine,xsd:gYear,end year of insertion of automobile engine
end year of sales,dbo:endYearOfSales,dbo:Sales,xsd:gYear,end year of sales of sales
endangered since,dbo:endangeredSince,dbo:Place,xsd:date,endangered since of place
endowment ($),dbo:endowment,dbo:Organisation,xsd:double,endowment of organisation
engine power,dbo:enginePower,dbo:MeanOfTransportation,xsd:positiveInteger,engine power of mean of transportation
ensemble,dbo:ensembl,dbo:Biomolecule,xsd:string,ensemble of biomolecule
EntrezGene,dbo:entrezgene,dbo:Biomolecule,xsd:string,entrezgene of biomolecule
episode,dbo:episode,dbo:FictionalCharacter,xsd:string,episode of fictional character
episode number,dbo:episodeNumber,dbo:TelevisionEpisode,xsd:nonNegativeInteger,episode number of television episode
epoch,dbo:epoch,dbo:Planet,xsd:string,epoch of planet
ept final table,dbo:eptFinalTable,dbo:PokerPlayer,xsd:nonNegativeInteger,ept final table of poker player
ept itm,dbo:eptItm,dbo:PokerPlayer,xsd:nonNegativeInteger,ept itm of poker player
ept title,dbo:eptTitle,dbo:PokerPlayer,xsd:string,ept title of poker player
equity ($),dbo:equity,dbo:Company,xsd:double,equity of company
eruption,dbo:eruption,dbo:Island,xsd:string,eruption of island
eruption date,dbo:eruptionYear,dbo:Volcano,xsd:gYear,eruption date of volcano
escalafon,dbo:escalafon,dbo:Person,xsd:string,escalafon of person
escape velocity (kmh),dbo:escapeVelocity,dbo:Planet,xsd:double,escape velocity of planet
ESPN id,dbo:espnId,dbo:Athlete,xsd:integer,espn id of athlete
Established,dbo:established,dbo:ChristianDoctrine,xsd:string,established of christian doctrine
Establishment,dbo:establishment,dbo:ChristianDoctrine,xsd:integer,establishment of christian doctrine
ethnic groups in year,dbo:ethnicGroupsInYear,,xsd:gYear,ethnic groups in year
eurobabe index id,dbo:eurobabeIndexId,dbo:Film,xsd:string,eurobabe index id of film
european championship,dbo:europeanChampionship,dbo:Athlete,xsd:string,european championship of athlete
european union entrance date,dbo:europeanUnionEntranceDate,dbo:Country,xsd:date,european union entrance date of country
event date,dbo:eventDate,dbo:Place,xsd:date,event date of place
event description,dbo:eventDescription,dbo:HistoricPlace,xsd:string,event description of historic place
exhibition,dbo:exhibition,,xsd:string,exhibition
expedition,dbo:expedition,dbo:Person,xsd:string,expedition of person
external ornament,dbo:externalOrnament,dbo:Person,xsd:string,external ornament of person
extinction date,dbo:extinctionDate,,xsd:date,extinction date
extinction year,dbo:extinctionYear,dbo:Species,xsd:gYear,extinction year of species
eye color,dbo:eyeColor,dbo:Person,xsd:string,eye color of person
eye colour,dbo:eyeColour,dbo:Person,xsd:string,eye colour of person
eyes,dbo:eyes,dbo:FictionalCharacter,xsd:string,eyes of fictional character
FAA Location Identifier,dbo:faaLocationIdentifier,dbo:Airport,xsd:string,faa location identifier of airport
facility id,dbo:facilityId,dbo:RadioStation,xsd:integer,facility id of radio station
faculty size,dbo:facultySize,dbo:EducationalInstitution,xsd:nonNegativeInteger,faculty size of educational institution
failed launches,dbo:failedLaunches,,xsd:nonNegativeInteger,failed launches
fansgroup,dbo:fansgroup,dbo:SoccerClub,xsd:string,fansgroup of soccer club
fastest lap,dbo:fastestLap,dbo:FormulaOneRacer,xsd:nonNegativeInteger,fastest lap of formula one racer
fat (g),dbo:fat,dbo:Food,xsd:double,fat of food
Fatality Rate,dbo:fatalityRate,dbo:Outbreak,xsd:integer,fatality rate of outbreak
fate,dbo:fate,dbo:Company,rdf:langString,fate of company
fauna,dbo:fauna,dbo:Place,xsd:string,fauna of place
FC,dbo:fc,dbo:Cricketer,xsd:nonNegativeInteger,fc of cricketer
FC runs,dbo:fcRuns,dbo:Cricketer,xsd:nonNegativeInteger,fc runs of cricketer
FDA UNII code,dbo:fdaUniiCode,,xsd:string,fda unii code
"feast day, holiday",dbo:feastDay,,xsd:date,"feast day, holiday"
feat,dbo:feat,dbo:Person,xsd:string,feat of person
feature,dbo:feature,dbo:FictionalCharacter,xsd:string,feature of fictional character
fed cup,dbo:fedCup,dbo:Athlete,xsd:string,fed cup of athlete
fees ($),dbo:fees,dbo:School,xsd:double,fees of school
fibahof,dbo:fibahof,dbo:Athlete,xsd:string,fibahof of athlete
fight,dbo:fight,dbo:Boxer,xsd:nonNegativeInteger,fight of boxer
fighter,dbo:fighter,,xsd:string,fighter
The extension of this file,dbo:fileExtension,dbo:File,xsd:string,the extension of this file of file
size (B),dbo:fileSize,dbo:Work,xsd:double,size of work
filename,dbo:filename,dbo:Work,xsd:string,filename of work
film audio type,dbo:filmAudioType,dbo:Film,xsd:string,film audio type of film
film colour type,dbo:filmColourType,dbo:Film,xsd:string,film colour type of film
film number,dbo:filmNumber,dbo:Person,xsd:nonNegativeInteger,film number of person
FilmPolski.pl id,dbo:filmPolskiId,,xsd:string,filmpolski.pl id
film runtime (s),dbo:filmRuntime,dbo:Film,xsd:double,film runtime of film
final flight,dbo:finalFlight,dbo:Rocket,xsd:date,final flight of rocket
final lost,dbo:finalLost,dbo:TennisPlayer,xsd:nonNegativeInteger,final lost of tennis player
final lost double,dbo:finalLostDouble,dbo:TennisPlayer,xsd:string,final lost double of tennis player
final lost single,dbo:finalLostSingle,dbo:TennisPlayer,xsd:string,final lost single of tennis player
final lost team,dbo:finalLostTeam,dbo:Athlete,xsd:string,final lost team of athlete
final publication date,dbo:finalPublicationDate,dbo:PeriodicalLiterature,xsd:date,final publication date of periodical literature
final publication year,dbo:finalPublicationYear,dbo:PeriodicalLiterature,xsd:gYear,final publication year of periodical literature
fips code,dbo:fipsCode,dbo:PopulatedPlace,xsd:string,fips code of populated place
